# {"split": "train", "n_per_class": 5000, "seed": 42, "min_duration": 1.0, "max_duration": 15.0, "total_samples": 10000, "bonafide": 5000, "spoof": 5000, "created_at": "2026-05-31T15:30:20.196754+00:00"}
file_name,label,audio_path
T_0000056799,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000056799.flac
T_0000037041,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000037041.flac
T_0000076938,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000076938.flac
T_0000139363,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000139363.flac
T_0000006863,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000006863.flac
T_0000101838,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000101838.flac
T_0000048861,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000048861.flac
T_0000141608,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000141608.flac
T_0000162768,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000162768.flac
T_0000133910,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000133910.flac
T_0000054881,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000054881.flac
T_0000015745,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000015745.flac
T_0000151735,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000151735.flac
T_0000012721,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000012721.flac
T_0000098395,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000098395.flac
T_0000088001,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000088001.flac
T_0000181751,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000181751.flac
T_0000069095,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000069095.flac
T_0000150167,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000150167.flac
T_0000179522,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000179522.flac
T_0000176806,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000176806.flac
T_0000008252,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000008252.flac
T_0000008868,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000008868.flac
T_0000013293,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000013293.flac
T_0000065147,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000065147.flac
T_0000073260,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000073260.flac
T_0000111851,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000111851.flac
T_0000082166,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000082166.flac
T_0000111251,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000111251.flac
T_0000083691,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000083691.flac
T_0000147924,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000147924.flac
T_0000064304,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000064304.flac
T_0000062820,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000062820.flac
T_0000020319,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000020319.flac
T_0000132810,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000132810.flac
T_0000067557,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000067557.flac
T_0000108493,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000108493.flac
T_0000179587,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000179587.flac
T_0000112398,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000112398.flac
T_0000032196,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000032196.flac
T_0000081645,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000081645.flac
T_0000024713,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000024713.flac
T_0000174330,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000174330.flac
T_0000003372,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000003372.flac
T_0000099691,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000099691.flac
T_0000127224,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000127224.flac
T_0000156211,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000156211.flac
T_0000135354,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000135354.flac
T_0000129012,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000129012.flac
T_0000032679,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000032679.flac
T_0000139774,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000139774.flac
T_0000060135,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000060135.flac
T_0000158775,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000158775.flac
T_0000092220,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000092220.flac
T_0000000486,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000000486.flac
T_0000131110,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000131110.flac
T_0000042059,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000042059.flac
T_0000074706,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000074706.flac
T_0000015495,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000015495.flac
T_0000001446,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000001446.flac
T_0000115209,bonafide,C:\Users\espma\Desktop\Sistemi Biometrici\Codice\SB2526-MasterThesis\Dataset_full\ASVspoof5\flac_T\T_0000115209.flac
